Study Hours per Week,Attendance Rate,Previous Grades,Participation in Extracurricular Activities,Parent Education Level,Passed
-18.973713224089863,96.49643450051236,57.04759592552599,Yes,High School,No
13.893885590630523,77.10962658568964,69.53194766591373,Yes,Bachelor,No
20.18150830480554,64.15160158000077,70.2702530806667,Yes,Bachelor,Yes
27.184238851264205,73.8407694072192,77.08945518765108,Yes,High School,Yes
13.126773002213312,42.12770666092429,49.4971245507876,No,Master,No
13.126904344406556,84.26587414745877,78.88850910770996,Yes,High School,Yes
27.63370252405913,80.02410950724449,29.434125525958372,Yes,Master,No
21.13947783322327,63.658227378636184,60.551731714542846,No,Master,No
11.244204912520383,93.1849133686481,62.67589236322683,Yes,Bachelor,No
19.340480348687716,98.75140275253116,79.49990239106857,No,Master,Yes
-11.292658457500302,47.84880271262052,70.33946279015304,No,Bachelor,No
11.274161971437945,64.74550442867572,48.9165541921557,No,High School,No
16.935698172528273,64.61715300425404,55.225103112744776,No,High School,No
-0.3062419572623831,61.20193797782271,72.9802001432111,No,High School,No
1.2006573398957379,96.58949683863497,68.81398987203166,Yes,High School,No
10.501699766072218,106.12347722454393,61.313138355463806,No,Bachelor,No
6.89735103732461,74.70970317378779,62.78749315732031,No,High School,No
17.51397866076219,39.92275271186493,80.44251995738934,No,High School,No
7.735807395830313,92.70836060418452,62.23461140696178,No,Bachelor,No
3.701570389317668,55.21483210293055,68.6786313395639,No,Master,No
-26.72519015137243,81.19865260532657,100.0,No,High School,Yes
13.193789596107715,85.54753875916383,48.64476044674116,No,High School,No
15.54022563750339,107.21317191677302,42.22235902638012,No,High School,No
3.6020145102923458,53.823592017617756,81.7538449719791,No,Bachelor,No
10.644938203798539,19.609756883583493,59.82035408058845,Yes,High School,No
15.887380717678928,83.6769908950739,65.2264370838607,No,Bachelor,Yes
5.792051380621578,116.01022363021707,58.28265432803329,No,High School,No
18.005584146765376,104.77892705878875,66.10299788848731,Yes,High School,Yes
10.19489048064956,84.19318830549251,93.97807168144512,Yes,Master,Yes
12.666450001653786,70.16727628735906,82.0319268792718,No,High School,No
-10.186347102164824,126.14245193274621,82.93335267830466,Yes,High School,Yes
29.818225476071504,60.529076005910625,48.75659416311032,Yes,High School,Yes
14.892022202096529,89.52715538712438,52.73269395170696,No,High School,No
6.538312568352797,90.10940318333253,27.413820107718593,Yes,Bachelor,No
21.580359296825513,101.2041981499776,57.859287683758694,No,High School,Yes
5.233250800231822,135.19320077822155,84.35054779578488,Yes,High School,Yes
16.670908760038042,87.84831934357534,77.75419773622556,Yes,High School,Yes
-0.6773609910382046,69.82072748585003,66.67730105571815,No,Bachelor,No
4.374511608812556,79.48851375616012,69.6654957442292,No,Bachelor,No
16.574889886952988,44.61848190221764,,Yes,Bachelor,No
